Date,Open^IXIC,High^IXIC,Low^IXIC,Close^IXIC,AClose^IXIC,Volume^IXIC,Open^SOX,High^SOX,Low^SOX,Close^SOX,AClose^SOX,Volume^SOX,Open^TWII,High^TWII,Low^TWII,Close^TWII,AClose^TWII,Volume^TWII
2019-12-31,8918.740234375,8975.3603515625,8912.76953125,8972.599609375,8972.599609375,2182800000.0,1836.1800537109375,1851.06005859375,1835.2900390625,1849.6199951171875,1849.6199951171875,0.0,,,,,,
2020-01-02,9039.4599609375,9093.4296875,9010.8896484375,9092.1904296875,9092.1904296875,2848370000.0,1875.3399658203125,1888.1400146484375,1864.9300537109375,1887.9100341796875,1887.9100341796875,0.0,12026.5,12110.740234375,12026.23046875,12100.48046875,12100.48046875,2023800.0
2020-01-03,8976.4296875,9065.759765625,8976.4296875,9020.76953125,9020.76953125,2567400000.0,1850.8199462890625,1869.719970703125,1848.6500244140625,1853.97998046875,1853.97998046875,0.0,12167.4404296875,12197.6396484375,12023.599609375,12110.4296875,12110.4296875,2572900.0
2020-01-06,8943.5,9072.41015625,8943.5,9071.4697265625,9071.4697265625,2788120000.0,1825.5899658203125,1840.18994140625,1821.8599853515625,1834.6800537109375,1834.6800537109375,0.0,12035.7099609375,12040.080078125,11953.3603515625,11953.3603515625,11953.3603515625,2345200.0
2020-01-07,9076.6396484375,9091.9296875,9042.5498046875,9068.580078125,9068.580078125,2352850000.0,1852.72998046875,1875.6099853515625,1845.5,1867.280029296875,1867.280029296875,0.0,11961.9697265625,11986.0302734375,11822.400390625,11880.3203125,11880.3203125,2338400.0
2020-01-08,9068.0302734375,9168.8896484375,9059.3798828125,9129.240234375,9129.240234375,2464090000.0,1866.8199462890625,1878.9599609375,1858.510009765625,1867.5899658203125,1867.5899658203125,0.0,11818.759765625,11899.669921875,11777.4501953125,11817.099609375,11817.099609375,2428800.0
2020-01-09,9202.26953125,9215.9501953125,9158.5,9203.4296875,9203.4296875,2534700000.0,1887.18994140625,1891.06005859375,1860.56005859375,1878.72998046875,1878.72998046875,0.0,11889.4599609375,11992.5498046875,11889.4599609375,11970.6298828125,11970.6298828125,2036900.0
2020-01-10,9232.9501953125,9235.2001953125,9164.66015625,9178.8603515625,9178.8603515625,2378990000.0,1886.7900390625,1887.8699951171875,1862.1300048828125,1866.3499755859375,1866.3499755859375,0.0,12009.26953125,12038.2099609375,11959.0595703125,12024.650390625,12024.650390625,1869000.0
2020-01-13,9213.7197265625,9274.490234375,9193.0595703125,9273.9296875,9273.9296875,2530270000.0,1879.9000244140625,1892.3800048828125,1873.7099609375,1890.7900390625,1890.7900390625,0.0,12069.6103515625,12113.419921875,12037.240234375,12113.419921875,12113.419921875,2292300.0
2020-01-14,9270.6103515625,9298.330078125,9226.490234375,9251.330078125,9251.330078125,2542170000.0,1891.97998046875,1909.1400146484375,1884.0899658203125,1894.6400146484375,1894.6400146484375,0.0,12161.73046875,12186.6201171875,12140.26953125,12179.8095703125,12179.8095703125,2255300.0
2020-01-15,9253.759765625,9298.8203125,9231.1396484375,9258.7001953125,9258.7001953125,2435650000.0,1889.5400390625,1890.1400146484375,1865.8900146484375,1872.1600341796875,1872.1600341796875,0.0,12169.919921875,12169.919921875,12048.009765625,12091.8798828125,12091.8798828125,1943800.0
